vin,ign_on_time,trip_match_key,t,latitude,longitude,ems11_n,ems11_vs,ems12_brake_act,tcu12_cur_gr,ems11_tqi_acor,mdps_sas11_fs_sas_angle,sas_sas11_fs_sas_angle,sas11_fs_sas_speed,esp12_lat_accel,esp12_long_accel,ems12_pv_av_can
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,47,42.18141111,-71.86373888888889,1225.0,0.0,1.0,0.0,9.765625,29.5,29.5,0.0,0.27999999999999936,0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,48,42.18141111,-71.86373888888889,1237.0,0.0,1.0,0.0,9.375,29.5,29.5,0.0,0.25,-0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,49,42.18141111,-71.86373888888889,1213.0,0.0,1.0,0.0,9.765625,29.5,29.5,0.0,0.2400000000000002,0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,50,42.18141111,-71.86373888888889,1229.0,0.0,1.0,0.0,9.375,29.5,29.5,0.0,0.25,0.07000000000000028,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,51,42.18141111,-71.86373888888889,1212.0,0.0,1.0,0.0,9.765625,29.5,29.5,0.0,0.20999999999999908,-0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,52,42.18141111,-71.86373888888889,1216.0,0.0,1.0,0.0,9.375,29.400000000000002,29.400000000000002,0.0,0.2400000000000002,-0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,53,42.18141111,-71.86373888888889,1199.0,0.0,1.0,0.0,9.765625,29.3,29.3,0.0,0.2699999999999996,0.07000000000000028,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,54,42.18141111,-71.86373888888889,1209.0,0.0,1.0,0.0,9.375,29.3,29.3,0.0,0.25,0.03999999999999915,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,55,42.18141111,-71.86373888888889,1205.0,0.0,1.0,0.0,9.765625,29.3,29.3,0.0,0.25,0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,56,42.18141111,-71.86373888888889,1202.0,0.0,1.0,0.0,9.765625,29.3,29.3,0.0,0.2400000000000002,0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,57,42.18141111,-71.86373888888889,1207.0,0.0,1.0,0.0,9.375,29.3,29.3,0.0,0.20999999999999908,0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,58,42.18141111,-71.86373888888889,1213.0,0.0,1.0,0.0,9.375,29.3,29.3,0.0,0.2699999999999996,0.02999999999999936,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,59,42.18141111,-71.86373888888889,1207.0,0.0,1.0,0.0,9.375,29.3,29.3,0.0,0.22000000000000064,0.02999999999999936,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,60,42.18141111,-71.86373888888889,1203.0,0.0,1.0,0.0,9.375,29.3,29.3,0.0,0.2400000000000002,0.0,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,61,42.18141111,-71.86373888888889,1203.0,0.0,1.0,0.0,9.375,29.3,29.3,0.0,0.25,-0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,62,42.18141111,-71.86373888888889,1197.0,0.0,1.0,0.0,9.375,29.3,29.3,0.0,0.25,0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,63,42.18141111,-71.86373888888889,1197.0,0.0,1.0,0.0,9.375,29.3,29.3,0.0,0.25,0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,64,42.18141111,-71.86373888888889,1167.0,0.0,1.0,0.0,9.375,29.3,29.3,0.0,0.22000000000000064,0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,65,42.18141111,-71.86373888888889,1185.0,0.0,1.0,0.0,9.765625,29.3,29.3,0.0,0.28999999999999915,0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,66,42.18141111,-71.86373888888889,1193.0,0.0,1.0,0.0,9.375,29.3,29.3,0.0,0.2599999999999998,0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,67,42.18141111,-71.86373888888889,1186.0,0.0,1.0,0.0,9.375,29.3,29.3,0.0,0.2400000000000002,0.0,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,68,42.18141111,-71.86373888888889,1186.0,0.0,1.0,0.0,9.375,29.3,29.3,0.0,0.20999999999999908,0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,69,42.18141111,-71.86373888888889,1161.0,0.0,1.0,0.0,9.765625,29.3,29.3,0.0,0.25,0.0,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,70,42.18141111,-71.86373888888889,1179.0,0.0,1.0,0.0,9.765625,29.3,29.3,0.0,0.2599999999999998,-0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,71,42.18141111,-71.86373888888889,1199.0,0.0,1.0,0.0,9.375,29.3,29.3,0.0,0.20999999999999908,0.03999999999999915,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,72,42.18141111,-71.86373888888889,1198.0,0.0,1.0,0.0,9.375,29.3,29.3,0.0,0.2599999999999998,-0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,73,42.18141111,-71.86373888888889,1183.0,0.0,1.0,0.0,9.765625,29.3,29.3,0.0,0.2400000000000002,0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,74,42.18141111,-71.86373888888889,1180.0,0.0,1.0,0.0,9.375,29.3,29.3,0.0,0.1999999999999993,0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,75,42.18141111,-71.86373888888889,1173.0,0.0,1.0,0.0,9.765625,29.3,29.3,0.0,0.22000000000000064,-0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,76,42.18141111,-71.86373888888889,1179.0,0.0,1.0,0.0,9.765625,29.3,29.3,0.0,0.2400000000000002,-0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,77,42.18141111,-71.86373888888889,1184.0,0.0,1.0,0.0,9.375,29.3,29.3,0.0,0.25,0.02999999999999936,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,78,42.18141111,-71.86373888888889,1161.0,0.0,1.0,0.0,9.765625,29.3,29.3,0.0,0.23000000000000043,-0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,79,42.18141111,-71.86373888888889,1170.0,0.0,1.0,0.0,9.765625,29.3,29.3,0.0,0.2400000000000002,0.0,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,80,42.18141111,-71.86373888888889,1169.0,0.0,1.0,0.0,9.765625,29.3,29.3,0.0,0.25,0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,81,42.18141111,-71.86373888888889,1178.0,0.0,1.0,0.0,9.765625,29.3,29.3,0.0,0.2699999999999996,-0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,82,42.18141111,-71.86373888888889,1173.0,0.0,1.0,0.0,9.765625,29.3,29.3,0.0,0.2699999999999996,0.02999999999999936,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,83,42.18141111,-71.86373888888889,1171.0,0.0,1.0,0.0,9.765625,29.3,29.3,0.0,0.22000000000000064,0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,84,42.18141111,-71.86373888888889,1172.0,0.0,1.0,0.0,9.375,29.3,29.3,0.0,0.23000000000000043,0.03999999999999915,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,85,42.18141111,-71.86373888888889,1172.0,0.0,1.0,0.0,9.375,29.400000000000002,29.400000000000002,0.0,0.2699999999999996,0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,86,42.18141111,-71.86373888888889,1149.0,0.0,1.0,0.0,9.765625,29.3,29.3,0.0,0.23000000000000043,0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,87,42.18141111,-71.86373888888889,1157.0,0.0,1.0,0.0,9.765625,29.3,29.3,0.0,0.2699999999999996,0.03999999999999915,0.0
